,Unnamed: 0,x,y,r,g,b,Title,Artist,Year,Genre
2306,2306,0.8540821,5.8537807,0.8476492109751608,0.954683703161614,0.6359952439518721,Sem Perceber,Cecéu Muniz,2001,Pagode
2307,2307,9.759431,6.7777596,0.284588547311456,0.9391046845765758,0.7346654281739629,Runnin',The Pharcyde,1995,HipHop
2308,2308,6.831918,2.840612,0.5258149894266484,0.3372321778053183,0.2238897778627918,No War - Ry X Remix,"Âme, RY X",2019,MinimalTechno
2309,2309,6.3154182,7.971274,0.2330413171727603,0.9620031904493082,0.7334058891486362,Son Of The Light,Mike Rowland,1996,NewAge
2310,2310,6.3359194,0.9006761,0.3215091348004902,0.059374327034938,0.1303943580791841,Halfway Tree,Anthony Cruz,2006,Salsa
2311,2311,-0.16358317,3.9570713,0.9320158999562164,0.9298458489781783,0.3624453130187036,Follow You!,TrySail,2023,Anime
2312,2312,7.67397,2.8745809,0.3754612700170912,0.2687527119870662,0.2241577481547143,Destá - Ao Vivo,Dorgival Dantas,2014,Forro
2313,2313,0.53677064,2.4172804,0.8899808979590474,0.9122013621261008,0.5010861834321306,風と行く道,大原ゆい子,2021,Anime
2314,2314,10.314732,4.970051,0.2083820453096438,0.9548362399682324,0.6165839676536669,Rhapsody in Blue,"George Gershwin, Columbia Symphony Orchestra, Leonard Bernstein",1959,Classical
2315,2315,9.996072,1.414146,0.0695228561796049,0.9286150727088468,0.5673707852435109,Nosso Amor Quer Paz - Ao Vivo,"Péricles, Marvvila",2022,Pagode
2316,2316,8.95143,9.673273,0.6192637012929265,0.9726184833989372,0.9372214383325363,"Stabat Mater, P. 77: I. Stabat Mater dolorosa","Giovanni Battista Pergolesi, Margaret Marshall, Lucia Valentini Terrani, London Symphony Orchestra, Claudio Abbado, Leslie Pearson",1985,Classical
2317,2317,8.8029785,9.040413,0.627407083059273,0.96687124507215,0.8559252636861734,Vibrate,Uberzone,2007,Breakbeat
2318,2318,9.796516,2.232135,0.0799075752967347,0.8478958003376951,0.5594510568636814,Surrounding Me,Amentis,2023,Hardstyle
2319,2319,8.328357,2.7348561,0.2276753740673982,0.8124934962863215,0.3296348561332509,Everything Now,"Franck Roger, HATT",2021,DeepHouse
2320,2320,4.8802304,2.3198316,0.6612589492623493,0.2484532155781224,0.515646084277807,Morning Glory,Lacksley Castell,1982,Reggae
2321,2321,1.704495,4.0826845,0.8659179545300689,0.7688727931091119,0.4387602344109095,Brazil,Django Reinhardt,1941,Jazz
2322,2322,-0.26086652,2.9567683,0.898287218192999,0.9688258908351896,0.5154862205075694,Ao Pé da Letra,Juventude S/A,1999,Pagode
2323,2323,8.22887,3.1202583,0.2255063131692445,0.756134068974829,0.3208224198666314,Give It To Her,Tanto Metro & Devonte,2005,Dancehall
2324,2324,4.3840747,0.74555755,0.6603868559574846,0.1018293783748123,0.244645101799431,Alright All Night featuring Dylan Rhymes,"Lee Coombs, Dylan Rhymes",2004,Breakbeat
2325,2325,1.3367033,0.9673021,0.8875223893086305,0.8729567454834376,0.5042442675512768,Beleza Rara,Banda Eva,1996,Pagode
2326,2326,9.671854,4.058099,0.3260627008370504,0.9061200702701552,0.7966007151733664,When the Crowds Are Gone,Savatage,1990,Metal
2327,2327,0.86883646,6.3869476,0.8703026644849677,0.9248993664998072,0.5002889275957741,You're Sunshine,WEISS,2016,House
2328,2328,7.703049,5.644732,0.4905687971049399,0.4937932967450584,0.3342157841462225,Your Love Is All I Need - Dub,Liz Torres,2013,ChicagoHouse
2329,2329,8.583277,3.7698712,0.3119564529046419,0.8531021311215562,0.2815544009621473,空港,Princess Ai,2009,Mandopop
2330,2330,5.445258,0.6905775,0.4978330902932613,0.1245433489125529,0.4012288477724418,La Carne Del Leviatán,Looking for an Answer,2017,Grindcore
2331,2331,10.613761,1.625315,0.0962025870784311,0.9694980569234726,0.529424471499035,Red River Rock,Silicon Teens,1980,SynthPop
2332,2332,5.9643126,0.920734,0.3570354523316772,0.1959916662657984,0.110765363951934,The Best,Tifa,2020,Dancehall
2333,2333,9.252798,3.8973246,0.3044946291434501,0.8915990197578938,0.3834039266137277,你曾那麼愛我,Andrew Tan,2018,Mandopop
2334,2334,7.1601534,2.672702,0.2745123451374507,0.3891799613272178,0.5024345637610182,Don't Tell Me You Love Me,Night Ranger,1982,HardRock
2335,2335,8.99768,7.6956997,0.5799110972521028,0.95845628950947,0.7991705112840286,Loco por Tenerte,Juan Manuel Lebron,2016,Salsa
2336,2336,9.83888,0.63042563,0.050161516600033,0.8286777633531981,0.2438964836405499,Seven Cities - Nall Remix,"Solarstone, Nall",2020,Trance
2337,2337,6.9589944,1.7842946,0.3555778616990762,0.3004614530773794,0.467985188314131,Stone,Prince Alla,1996,Reggae
2338,2338,3.0595205,5.627385,0.752537191141332,0.9178953450939225,0.3627408883851222,"Sinfonia in D Major, ""La Veneziana"": II. Andantino grazioso","Antonio Salieri, Chopin Chamber Orchestra, Winston Dan Vogel",1994,Classical
2339,2339,10.616549,4.7430234,0.1458620407307395,0.9680871178929104,0.5423773117006594,Boondocks,Little Big Town,2005,Country
2340,2340,0.23878905,6.6881104,0.9197536696972728,0.9679849466934024,0.5928421524633879,I Second That Emotion,Smokey Robinson & The Miracles,1994,Soul
2341,2341,2.1128416,5.5522337,0.8598597003496184,0.9255088817034084,0.5423506579796558,"Pagliacci / Act 1: ""Recitar!...Vesti la giubba""","Ruggero Leoncavallo, Luciano Pavarotti, National Philharmonic Orchestra, Giuseppe Patanè",1978,Opera
2342,2342,-0.5420857,4.1281962,0.9414407224892952,0.9654453801994772,0.4569921396278887,Burst The Gravity,Altima,2014,Anime
2343,2343,10.892353,5.251228,0.1480283837758822,0.9757037086046216,0.7248245523973794,Ramblin' Heart,Mountain Heart,2002,Bluegrass
2344,2344,8.170362,1.1349499,0.1656163914440395,0.5069103786360305,0.5937758856647636,You Know How to Love Me - Long Version,Phyllis Hyman,1979,Funk
2345,2345,7.4168615,5.552678,0.379930074339589,0.7484165737833889,0.3667898707328915,"Mozart: Die Zauberflöte, K. 620, Act 1 Scene 16: No. 8c, Finale, ""Schnelle Füsse, rascher Mut"" (Pamina, Papageno, Monostatos, Die Sklaven)","Wolfgang Amadeus Mozart, Lucia Popp, Bernard Haitink, Bavarian Radio Symphony Orchestra",1981,Opera
2346,2346,9.778537,5.536904,0.2668025259242333,0.9745596996741006,0.6395874132504467,Alright,Supergrass,1995,AltRock
2347,2347,3.887349,6.429762,0.6723613550122481,0.9200087058825724,0.4627653145311892,Ring The Alarm,Tenor Saw,2008,Reggae
2348,2348,-0.55543965,3.1722138,0.8752579353186862,0.9679107970100308,0.785982197972847,Johnny Come Home,Fine Young Cannibals,1985,SynthPop
2349,2349,7.899827,3.1482396,0.2479574065202706,0.6911468750122777,0.2813103291602731,Dust On The Bottle,David Lee Murphy,1994,Country
2350,2350,8.232525,6.358609,0.5600710757032272,0.7979006872536679,0.4283195743829641,Find Me,"Sigma, Birdy",2022,House
2351,2351,5.757516,7.631142,0.2850435815909536,0.9702647825965556,0.6374606000643229,Quiet Dreams,Abul Mogard,2018,Ambient
2352,2352,10.786481,3.933795,0.1240648315270946,0.9676295690622906,0.3888696450731518,Everything's Gonna Be Alright,"David Lee Murphy, Kenny Chesney",2018,Country
2353,2353,3.1121624,7.936855,0.7901381360814134,0.8383563203288734,0.6223719431276723,Young Lovers,Paul & Paula,1961,RocknRoll
2354,2354,9.737698,5.1615367,0.259116963661287,0.958854122530898,0.481539753580989,Necromancer - Original Mix,PMT,2007,Breakbeat
2355,2355,8.63574,1.1625419,0.1905631836006077,0.5419971091539668,0.4694358484463551,Diga Sim pra Mim,Desejo De Menina,2008,Forro
2356,2356,11.449717,3.7816312,0.0938969134636874,0.9724141464513518,0.6437234353025371,Hovering,Judithe Abelsen,2021,Sleep
2357,2357,11.482587,2.9976842,0.0703647248021742,0.9642006901863912,0.7102870542683148,Chloe Dancer/Crown Of Thorns,Mother Love Bone,1992,Grunge
2358,2358,0.097014435,5.397167,0.9033921837838882,0.9684142518283724,0.5472209505656378,Tsar Bomba,Necrophobic,2018,BlackMetal
2359,2359,5.2175026,2.9518356,0.6478176243369025,0.2570791274365611,0.1885116680058711,萬一你是個好人,Terence Lam,2023,Cantopop
2360,2360,4.428108,7.319977,0.6733111548407308,0.9535769443424932,0.5851970967464666,Bakit Pa Ba,Jay R,2003,OPM
2361,2361,9.282743,6.9137897,0.4195878671872713,0.9647935944799536,0.5205120592651541,Corporate Slave,Snog,2006,Industrial
2362,2362,-0.946242,2.8996682,0.9362314979122878,0.9763569561539904,0.6363502131424466,Night Shift,Lucy Dacus,2018,IndiePop
2363,2363,0.33637652,4.5725393,0.9006747283742877,0.9342167272612752,0.5097598207735378,Shine,PENTAGON,2018,KPop
2364,2364,8.639792,4.481217,0.2156848319907732,0.8966026583910137,0.4200688795392098,Elixir,Allen & Envy,2015,Trance
2365,2365,2.199353,6.0345745,0.8579898650963789,0.9664469723229714,0.667919805412804,Can't Get Used to Losing You,The Beat,1980,Ska
2366,2366,1.1089529,7.63541,0.8966639951551548,0.9707821222444408,0.6361622943319853,Your Only Friend,Phuture,1987,ChicagoHouse
2367,2367,1.2938565,6.573291,0.7374795809271497,0.9781056651733576,0.6102065814627864,Passe Livre,"Teodoro & Sampaio, Barrerito",1998,Sertanejo
2368,2368,-0.6245423,5.1803937,0.8917359408816983,0.9725859217058044,0.6730771025393096,Crush,Weki Meki,2018,KPop
2369,2369,8.593434,9.193181,0.6872843539480605,0.9789977648596518,0.914814345956124,Bo Diddley,Bo Diddley,1958,RocknRoll
2370,2370,4.4606676,7.1258745,0.6349770939988871,0.9740193688270212,0.5060808553428285,Anomaly,Aviana,2022,Metalcore
2371,2371,3.8465803,8.282543,0.7393733329355192,0.8392819315880787,0.5762253118738122,Volta Pra Mim - Ao Vivo,"Zé Cantor, NATTAN",2023,Forro
2372,2372,1.9740428,2.2888434,0.8032522203793963,0.7071086992142241,0.5315913592207724,Sandalan,6cyclemind,2005,OPM
2373,2373,5.0325723,0.6965986,0.5000421518932171,0.1456036218086678,0.6805729499634525,Basket Case,Green Day,1994,Rock
2374,2374,-0.98440534,4.47179,0.9532252275802108,0.9749653485742094,0.6488567476113102,Dolgoch Tape,Clark,2023,IDM
2375,2375,4.6543565,2.0809307,0.5756204873229928,0.3130577893443712,0.5902098209914987,End Of Silence,A.r.d.i.,2022,Trance
2376,2376,3.5620317,1.3614409,0.8152441770231516,0.2735653552809113,0.1984062055171515,Miroirs: III. Une barque sur l'océan,"Maurice Ravel, André Laplante",1994,Classical
2377,2377,0.7488155,6.3682933,0.8465243184292022,0.9765440052907272,0.422675540346463,Time,Alcohol Funnycar,1993,Grunge
2378,2378,8.511269,8.460244,0.6555690975577955,0.8741856742184211,0.7628205191993669,Tarde em itapuã,"Toquinho, Vinícius de Moraes, Ophélie Gaillard, Romain Lécuyer",2015,MPB
2379,2379,-0.28605607,6.294589,0.9342914113425468,0.9780510927217556,0.7373708159820707,Oye Mi Canto,"N.O.R.E., Daddy Yankee, Nina Sky, Gemstar, Big Mato",2006,HipHop
2380,2380,9.42991,6.513963,0.2953949293919248,0.9711244219313426,0.6740655643763848,Screaming in the Night,Krokus,1983,HardRock
2381,2381,0.2031492,6.9434934,0.9590258738029362,0.9778273328955204,0.7693920557956097,Same Like Dope But Different,Butch,2022,MinimalTechno
2382,2382,6.2772193,0.7488888,0.2814478552959487,0.3896015410960451,0.6162314898161365,Imprevisto,Bossa Tres,2003,Bossanova
2383,2383,7.984479,7.1822906,0.7272216600007224,0.7105046683557014,0.6157727202879821,Break the Chain,Gene Loves Jezebel,1993,SynthPop
2384,2384,1.1110139,1.856262,0.8927394183222427,0.7084608085726899,0.4302029994366855,水平線,back number,2023,JPop
2385,2385,10.985851,2.8303483,0.1541764609490769,0.8763543629970156,0.7119963372533208,フライディ・チャイナタウン,Ms.OOJA,2020,JPop
2386,2386,11.093887,5.5186734,0.0819849252494048,0.85396961827058,0.7118887334716605,Soul Man,Sam & Dave,1967,Soul
2387,2387,10.869037,3.5532825,0.1744602493212646,0.9648365304532668,0.4711925384829439,Velvet Sunsets,Music Emporium,2001,PsychRock
2388,2388,0.8547698,4.8632836,0.8294290042616238,0.877124013948736,0.5356948845391979,Masdan Mo Ang Kapaligiran,Asin,1994,OPM
2389,2389,9.339712,7.0857954,0.445880015755647,0.9690337047240274,0.6964580872689395,Sexercise,"Spice, Jugglerz",2022,Dancehall
2390,2390,4.319568,1.8066108,0.6421284490430141,0.1799272103475749,0.2496181577288988,燈光,Eli Hsieh,2015,Mandopop
2391,2391,-0.88303,5.7979026,0.8930641009415805,0.9406030106520428,0.7273637320455566,Before I Let Go,"Maze, Frankie Beverly",2009,Soul
2392,2392,4.1643925,5.621023,0.6994001642855101,0.8164743690484311,0.3715201154796927,"Montsalvatge: 5 Canciones negras: No. 1, Cuba dentro de un piano","Xavier Montsalvatge, Victoria de los Ángeles, Rafael Frühbeck de Burgos, Orchestre De La Société Des Concerts Du Conservatoire",2008,Opera
2393,2393,-0.7349935,2.6647923,0.8422566558733869,0.9772409177465156,0.9397512762638456,メフィスト,QUEEN BEE,2023,JRock
2394,2394,6.7509193,5.568793,0.5355588717782553,0.8963110909317703,0.596040986704136,Worst Case Kid,Tommy Lefroy,2023,IndiePop
2395,2395,9.301573,4.2796364,0.2434682114808639,0.927450039493344,0.4029111307568993,Forever and a Day,Hilary Stagg,1988,NewAge
2396,2396,10.808553,1.0134051,0.0387830861415002,0.9615107243267158,0.3079033771639985,Your Love (9PM),"ATB, Topic, A7S",2021,Trance
2397,2397,-0.7431207,3.8828535,0.9530996161907924,0.9774720430874831,0.5440673313961296,Need You Now,Lady A,2010,Country
2398,2398,5.4025993,1.5477487,0.3682646724409781,0.2563303900745314,0.650054496330915,Batucada Boa,Samba Pra Gente,2010,Pagode
2399,2399,5.19423,1.7178141,0.6613128714265114,0.1846407594120737,0.221009716204666,C.R.E.A.M.,El Michels Affair,2012,Funk
2400,2400,7.2507925,4.192713,0.5629400209908895,0.7255604253342631,0.2593090516810076,幻日ミステリウム,Aqours,2023,Anime
2401,2401,0.79125386,6.873227,0.8815069288286379,0.973396663050514,0.6607319377402223,Yo Te Seguiré,"Larry Harlow, Frankie Dante & Orquesta Flamboyan",1972,Salsa
2402,2402,1.0969414,4.0289397,0.8758818638660647,0.8900969666699708,0.251638035425313,Japan - Satin Jackets Remix,"Tycho, Saint Sinner, Satin Jackets",2020,IDM
2403,2403,6.562809,2.2108314,0.5137287822811473,0.4226887877832012,0.4552568186166921,先入為主,Deep Ng,2003,Cantopop
2404,2404,11.106731,5.7763915,0.2062196714486182,0.9776707678783604,0.9402621751522818,Ilira,Thomas Köner,1992,Ambient
2405,2405,0.38202435,1.9657699,0.9382039641719058,0.9029303861856448,0.3309897731805717,Attention,Doja Cat,2023,Pop
